# Relative Spectral Response per photon; Wright et al. 2010
# W1     RSR     uncertainty (parts per thousand)
Angstrom Fraction
25200 0.0
25300 7.865423959990907e-06
25400 5.187542623323482e-07
25500 2.8358717890429644e-07
25600 3.0916117299386226e-07
25700 1.0275062514207773e-05
25800 7.215276199136167e-06
25900 4.701068424641964e-06
26000 3.1745851329847693e-06
26100 0.0004771538986133212
26200 0.0015674016822005
26300 0.0012298249602182316
26400 0.0009898840645601273
26500 0.0010760400090929756
26600 0.0011536712889293021
26700 0.0013707660832007274
26800 0.00043975903614457834
26900 0.000668902023187088
27000 0.0010548988406456012
27100 0.011209365764946577
27200 0.009889747669924983
27300 0.005869515799045238
27400 0.004363491702659695
27500 0.009363491702659696
27600 0.01733348488292794
27700 0.0295862696067288
27800 0.0565924073653103
27900 0.11085473971357127
28000 0.19333939531711752
28100 0.2849511252557399
28200 0.3500795635371675
28300 0.37735849056603776
28400 0.3728120027278927
28500 0.3591725392134576
28600 0.34325983177994995
28700 0.32507388042736984
28800 0.3081382132302796
28900 0.3058649693112071
29000 0.3195044328256422
29100 0.3456467378949761
29200 0.37542623323482605
29300 0.40122755171629915
29400 0.4225960445555808
29500 0.4406683337122073
29600 0.4569220277335758
29700 0.47510797908615593
29800 0.4921573084791998
29900 0.5035235280745624
30000 0.5069333939531712
30100 0.51034325983178
30200 0.5137531257103887
30300 0.5114798817913162
30400 0.5012502841554899
30500 0.488747442600591
30600 0.4716981132075471
30700 0.45351216185496707
30800 0.43191634462377815
30900 0.413730393271198
31000 0.40350079563537167
31100 0.41145714935212546
31200 0.4410093203000682
31300 0.4864741986815185
31400 0.5285292111843601
31500 0.5603546260513753
31600 0.5819504432825642
31700 0.5978631507160719
31800 0.611502614230507
31900 0.6240054557854058
32000 0.6342350534212321
32100 0.6399181632189133
32200 0.6456012730165946
32300 0.6490111388952033
32400 0.6512843828142759
32500 0.6456012730165946
32600 0.6387815412593771
32700 0.6342350534212321
32800 0.6365082973403047
32900 0.6535576267333484
33000 0.6887929074789725
33100 0.7353944078199591
33200 0.7842691520800181
33300 0.827460786542396
33400 0.8570129574903387
33500 0.8728120027278927
33600 0.8705387588088201
33700 0.8534894294157763
33800 0.8341668561036599
33900 0.8115480791088884
34000 0.7876790179586268
34100 0.7740395544441919
34200 0.7888156399181632
34300 0.8331438963400772
34400 0.8932711979995454
34500 0.9478290520572857
34600 0.9819277108433735
34700 0.9978404182768811
34800 1.0
34900 0.995453512161855
35000 0.9920436462832461
35100 0.988747442600591
35200 0.9853375767219822
35300 0.982041373039327
35400 0.9718117754035007
35500 0.9558990679699931
35600 0.9354398726983405
35700 0.9127074335076154
35800 0.8899749943168902
35900 0.8751989088429188
36000 0.8706524210047738
36100 0.8808820186406001
36200 0.9002045919527165
36300 0.9183905433052967
36400 0.9274835189815867
36500 0.9297567629006591
36600 0.9274835189815867
36700 0.9252102750625141
36800 0.9218004091839055
36900 0.9183905433052967
37000 0.9150943396226415
37100 0.9139577176631053
37200 0.9116844737440327
37300 0.9025914980677426
37400 0.8741759490793362
37500 0.8208683791770857
37600 0.7391452602864287
37700 0.6303705387588088
37800 0.504546487838145
37900 0.37394862468742895
38000 0.2581268470106842
38100 0.16924300977494885
38200 0.10538758808820185
38300 0.06433280290975221
38400 0.039554444191861785
38500 0.024948852011820868
38600 0.015867242555126164
38700 0.00990566037735849
38800 0.006063878154125938
38900 0.00428620140941123
39000 0.0035553534894294156
39100 0.0027938167765401228
39200 0.0021141168447374402
39300 0.001997044782905206
39400 0.0016003637190270515
39500 0.0013321209365764947
39600 0.0009967037963173448
39700 0.0005745624005455785
39800 0.0003099568083655376
39900 3.733803137076608e-05
40000 8.728120027278927e-05
40100 3.8156399181632185e-05
40200 2.5278472380086383e-05
40300 1.1673107524437372e-05
40400 6.462832461923164e-06
40500 4.370311434416912e-06
40600 1.0697885883155262e-05
40700 1.0022732439190724e-06
40800 7.118663332575585e-06
40900 6.529893157535804e-06
41000 1.25142077744942e-06
41100 2.8597408501932257e-06
41200 7.233462150488747e-07
41300 5.75017049329393e-07
41400 3.0563764491929982e-06
41500 2.509661286656058e-05
41600 4.42600591043419e-05
41700 5.30347806319618e-05
41800 4.169129347578995e-05
41900 3.0529665833143895e-05
42000 2.9211184360081836e-07
42100 2.667651739031598e-07
42200 2.3744032734712433e-07
42300 2.0413730393271196e-07
42400 1.694703341668561e-07
42500 1.2571038872471018e-06
42600 1.0384178222323256e-07
42700 8.264378267788134e-07
42800 5.526255967265288e-07
42900 4.298704250966128e-07
43000 2.654012275517163e-08
43100 1.7958626960672878e-08
43200 1.1979995453512162e-08
43300 1.7413048420095475e-07
43400 5.106842464196408e-09
43500 3.2336894748806544e-09
43600 2.076608320072744e-09
43700 3.2291429870425094e-08
43800 9.096385542168674e-10
43900 6.711752671061604e-10
44000 4.97272107297113e-10
44100 1.0509206637872244e-08
44200 2.8381450329620365e-10
44300 2.0754716981132075e-10
44400 1.5287565355762673e-10
44500 1.6003637190270516e-09
44600 1.5264832916571948e-09
44700 5.763809956808365e-11
44800 3.8440554671516254e-11
44900 3.024551034325983e-11
45000 2.008411002500568e-11
45100 1.1457149352125483e-11
45200 3.4178222323255286e-10
45300 6.415094339622641e-12
45400 5.429643100704706e-12
45500 3.424641964082746e-12
45600 1.4537394862468742e-07
45700 1.1240054557854057e-07
45800 3.246192316435554e-07
45900 1.5651284382814274e-07
46000 1.2673334848829278e-07
46100 1.1220731984541941e-07
46200 3.754262332348261e-07
46300 1.236644691975449e-07
46400 3.890656967492612e-07
